ID_1,NAME_1,ID_2,NAME_2,provincia_iso,sexo,fecha,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
18,Región de Murcia,52,Murcia,MU,H,01-01-2020,83825,92718,89282,103547,130438,107437,71617,47197,26857
9,Comunidad Foral de Navarra,34,Navarra,NA,H,01-01-2020,33120,36490,34358,39512,54257,48568,36565,26181,15383
12,Galicia,42,Ourense,OR,H,01-01-2020,9700,11344,12683,16727,22113,22445,20539,18208,14046
5,Castilla y León,21,Palencia,P,H,01-01-2020,5897,6626,7313,9323,11794,13324,12117,7788,5057
14,Islas Canarias,45,"Palmas, Las",GC,H,01-01-2020,46850,62632,66129,82432,105254,94722,60518,36857,17312
12,Galicia,43,Pontevedra,PO,H,01-01-2020,38684,45839,43998,57997,81206,68886,54867,42032,24103
15,La Rioja,47,"Rioja, La",LO,H,01-01-2020,14881,16540,15010,19063,26379,23611,18661,13239,8261
5,Castilla y León,22,Salamanca,SA,H,01-01-2020,12034,14956,15297,18455,23617,26221,21408,16209,13066
14,Islas Canarias,46,Santa Cruz de Tenerife,TF,H,01-01-2020,43082,54568,61243,76226,96670,85777,58277,39527,20433
5,Castilla y León,23,Segovia,SG,H,01-01-2020,6483,7755,7914,9209,12020,12890,9871,6390,5084
1,Andalucía,8,Sevilla,SE,H,01-01-2020,102085,117744,107559,129090,165506,142142,96628,65534,30931
5,Castilla y León,24,Soria,SO,H,01-01-2020,3580,4200,4348,5258,6780,7640,5893,4274,3681
6,Cataluña,30,Tarragona,T,H,01-01-2020,41702,47443,41940,51613,69931,58412,45075,32300,17891
2,Aragón,10,Teruel,TE,H,01-01-2020,5579,6306,6777,8256,10099,10744,8730,5855,5207
4,Castilla-La Mancha,17,Toledo,TO,H,01-01-2020,36470,41699,37427,47579,60522,51204,36636,24332,17010
10,Comunidad Valenciana,37,Valencia/València,V,H,01-01-2020,121336,142597,133371,160435,220252,189706,138966,97111,52634
5,Castilla y León,25,Valladolid,VA,H,01-01-2020,21973,24902,22886,29682,43994,39998,32166,24533,13875
5,Castilla y León,26,Zamora,ZA,H,01-01-2020,5246,6416,7355,9362,12148,14084,12596,9809,8281
2,Aragón,11,Zaragoza,Z,H,01-01-2020,45268,51209,48122,60185,81460,72547,54765,39418,24739
7,Ceuta y Melilla,31,Ceuta,CE,H,01-01-2020,5440,5832,5475,6038,6542,6050,4114,2037,999
7,Ceuta y Melilla,32,Melilla,ML,H,01-01-2020,7143,6230,6096,5428,5325,5609,4026,1775,882
4,Castilla-La Mancha,13,Albacete,AB,M,01-01-2020,16820,19860,20853,23708,30041,30189,21396,16918,15268
10,Comunidad Valenciana,35,Alicante/Alacant,A,M,01-01-2020,82449,95013,92124,119847,151434,140156,115448,92473,61431
1,Andalucía,1,Almería,AL,M,01-01-2020,38764,39273,39021,49811,56571,49539,36725,25893,17928
16,País Vasco,48,Araba/Álava,VI,M,01-01-2020,15542,15604,14391,20139,27041,25260,20867,16304,13241
17,Principado de Asturias,51,Asturias,O,M,01-01-2020,33172,39490,38864,56982,83714,83245,78768,60694,56941
5,Castilla y León,18,Ávila,AV,M,01-01-2020,5725,6922,7111,8377,11118,12351,9611,8287,9365
11,Extremadura,38,Badajoz,BA,M,01-01-2020,29131,34018,36833,42379,50451,51921,37488,30391,26525
13,Islas Baleares,44,"Balears, Illes",PM,M,01-01-2020,54965,59061,68331,93257,103054,85438,63085,45479,32193
6,Cataluña,27,Barcelona,B,M,01-01-2020,262010,291842,299009,373025,473313,402158,324790,262453,212802
16,País Vasco,50,Bizkaia,BI,M,01-01-2020,46922,52320,49470,64681,91962,91297,78455,62150,56157
5,Castilla y León,19,Burgos,BU,M,01-01-2020,13925,15620,15241,19490,26727,27433,22510,17645,18650
11,Extremadura,39,Cáceres,CC,M,01-01-2020,14422,17995,18748,22397,27684,31351,24042,19189,20081
1,Andalucía,2,Cádiz,CA,M,01-01-2020,58839,71304,65067,83294,102552,95025,71305,51012,33744
3,Cantabria,12,Cantabria,S,M,01-01-2020,22657,27008,24351,34843,48500,45429,40012,29018,26719
10,Comunidad Valenciana,36,Castellón/Castelló,CS,M,01-01-2020,26331,29505,27653,35357,47806,42847,32990,26461,20645
4,Castilla-La Mancha,14,Ciudad Real,CR,M,01-01-2020,21318,24291,26451,30153,36730,37876,28276,22966,21274
1,Andalucía,3,Córdoba,CO,M,01-01-2020,34433,40914,42496,48785,58860,61502,45686,35778,31266
12,Galicia,40,"Coruña, A",C,M,01-01-2020,41419,46124,46614,67514,94469,87477,75921,66092,58497
4,Castilla-La Mancha,15,Cuenca,CU,M,01-01-2020,7740,9329,10145,11607,13936,15204,10942,9574,10343
16,País Vasco,49,Gipuzkoa,SS,M,01-01-2020,31499,35485,32884,39747,56680,54296,46494,38490,32709
6,Cataluña,28,Girona,GI,M,01-01-2020,37944,41195,39928,49475,61541,53911,43129,31700,26365
1,Andalucía,4,Granada,GR,M,01-01-2020,41685,49956,50660,60192,71023,70553,52510,39497,31305
4,Castilla-La Mancha,16,Guadalajara,GU,M,01-01-2020,13001,14638,12700,17600,22911,18573,12608,8328,8854
1,Andalucía,5,Huelva,H,M,01-01-2020,24814,28394,27823,36770,45430,39689,28042,21327,15624
2,Aragón,9,Huesca,HU,M,01-01-2020,9291,10128,10108,12629,16322,16218,13073,10235,11193
1,Andalucía,6,Jaén,J,M,01-01-2020,26400,32534,35919,37883,44610,49981,36015,28248,25302
5,Castilla y León,20,León,LE,M,01-01-2020,14695,17608,18590,25293,33748,37371,31870,26089,30364
6,Cataluña,29,Lleida,L,M,01-01-2020,20229,21694,21436,26513,33790,30774,23722,18743,17611
12,Galicia,41,Lugo,LU,M,01-01-2020,10584,11297,12975,18774,24212,25589,22190,20253,22997
8,Comunidad de Madrid,33,Madrid,M,M,01-01-2020,320499,344044,367934,471810,589108,505161,381074,296516,237041
1,Andalucía,7,Málaga,MA,M,01-01-2020,79498,89738,85678,116769,141027,127308,97060,73112,46670
18,Región de Murcia,52,Murcia,MU,M,01-01-2020,78899,86113,82997,101234,121251,105967,75992,56663,42839
9,Comunidad Foral de Navarra,34,Navarra,NA,M,01-01-2020,31399,34691,33238,39738,52207,47736,37267,29745,26056
12,Galicia,42,Ourense,OR,M,01-01-2020,9046,10688,12003,16495,22098,23271,21570,21253,22638
5,Castilla y León,21,Palencia,P,M,01-01-2020,5471,6344,6900,8796,11260,12842,11399,8338,9316
14,Islas Canarias,45,"Palmas, Las",GC,M,01-01-2020,44160,59269,67384,83716,101487,92274,61728,41506,26947
12,Galicia,43,Pontevedra,PO,M,01-01-2020,35506,42307,41755,57638,81589,71491,61168,50990,43948
15,La Rioja,47,"Rioja, La",LO,M,01-01-2020,13964,15558,14904,19185,25454,23520,18904,14887,13909
5,Castilla y León,22,Salamanca,SA,M,01-01-2020,11502,13914,14823,18000,23853,26548,21696,18895,20588
14,Islas Canarias,46,Santa Cruz de Tenerife,TF,M,01-01-2020,41048,50975,60913,77699,93971,86384,61950,45386,31690
5,Castilla y León,23,Segovia,SG,M,01-01-2020,6106,7341,7224,8554,11304,11985,8789,7010,8277
1,Andalucía,8,Sevilla,SE,M,01-01-2020,96672,111826,103478,130416,165909,146796,106092,81869,57243
5,Castilla y León,24,Soria,SO,M,01-01-2020,3354,3915,4109,4813,6147,6775,5207,4265,5654
6,Cataluña,30,Tarragona,T,M,01-01-2020,38700,43437,40013,51840,66038,57181,46603,35970,28296
2,Aragón,10,Teruel,TE,M,01-01-2020,5381,5985,6497,7336,8944,10019,7736,6247,7607
4,Castilla-La Mancha,17,Toledo,TO,M,01-01-2020,34274,38306,34773,45120,56039,48877,35337,27417,26233
10,Comunidad Valenciana,37,Valencia/València,V,M,01-01-2020,113705,133959,128919,161211,215196,193755,152926,120801,91973
5,Castilla y León,25,Valladolid,VA,M,01-01-2020,20895,23628,21906,29375,43204,41083,34909,28370,23363
5,Castilla y León,26,Zamora,ZA,M,01-01-2020,4793,6196,6918,8410,11503,13302,11715,10721,12800
2,Aragón,11,Zaragoza,Z,M,01-01-2020,42541,47496,46670,60696,79276,72050,59099,47903,42986
7,Ceuta y Melilla,31,Ceuta,CE,M,01-01-2020,5102,5863,5507,5658,5931,5521,3854,2351,1768
7,Ceuta y Melilla,32,Melilla,ML,M,01-01-2020,6554,5862,5571,5758,5617,5309,3670,2020,1606
